,ticker,exchange,assetType,priceCurrency,startDate,endDate
105,000426,SHE,Stock,CNY,2000-01-03,2020-06-19
106,000428,SHE,Stock,CNY,2000-01-03,2020-06-19
107,000429,SHE,Stock,CNY,2000-01-03,2020-06-19
108,000430,SHE,Stock,CNY,2018-01-02,2020-06-19
109,000488,SHE,Stock,CNY,2000-11-20,2020-06-19
110,000498,SHE,Stock,CNY,2018-01-01,2020-06-19
111,000501,SHE,Stock,CNY,2000-01-03,2020-06-19
112,000502,SHE,Stock,CNY,2007-08-30,2020-06-19
113,000503,SHE,Stock,CNY,2018-01-02,2020-06-19
114,000504,SHE,Stock,CNY,2007-08-30,2020-06-19
115,000505,SHE,Stock,CNY,2007-08-30,2020-06-19
116,000506,SHE,Stock,CNY,2018-01-02,2020-06-19
117,000507,SHE,Stock,CNY,2018-01-01,2020-06-19
118,000508,SHE,Stock,CNY,,
119,000509,SHE,Stock,CNY,2017-07-17,2020-06-19
120,000510,SHE,Stock,CNY,2000-01-04,2020-06-19
121,000511,SHE,Stock,CNY,2017-04-28,2018-07-17
122,000513,SHE,Stock,CNY,2000-01-03,2020-06-19
123,000514,SHE,Stock,CNY,2018-01-02,2020-06-19
124,000515,SHE,Stock,CNY,,
125,000516,SHE,Stock,CNY,2000-02-02,2020-06-19
126,000517,SHE,Stock,CNY,2000-01-03,2020-06-19
127,000518,SHE,Stock,CNY,2007-08-30,2020-06-19
128,000519,SHE,Stock,CNY,2018-01-01,2020-06-19
129,000520,SHE,Stock,CNY,2000-01-03,2020-06-19
130,000521,SHE,Stock,CNY,2018-01-01,2020-06-19
131,000522,SHE,Stock,CNY,,
132,000523,SHE,Stock,CNY,2018-01-01,2020-06-19
133,000524,SHE,Stock,CNY,2018-01-01,2020-06-19
134,000525,SHE,Stock,CNY,2018-01-01,2020-06-19
135,000526,SHE,Stock,CNY,2007-08-30,2020-06-19
136,000527,SHE,Stock,CNY,,
137,000528,SHE,Stock,CNY,2000-01-03,2020-06-19
138,000529,SHE,Stock,CNY,2018-01-01,2020-06-19
139,000530,SHE,Stock,CNY,2000-01-03,2020-06-19
140,000531,SHE,Stock,CNY,2018-01-02,2020-06-19
141,000532,SHE,Stock,CNY,2000-01-03,2020-06-19
142,000533,SHE,Stock,CNY,2018-01-02,2020-06-19
143,000534,SHE,Stock,CNY,2000-01-03,2020-06-18
144,000535,SHE,Stock,CNY,,
145,000536,SHE,Stock,CNY,2000-01-03,2020-06-19
146,000537,SHE,Stock,CNY,2000-01-13,2020-06-19
