Date,High,Low,Open,Close,Volume,Adj Close,200ma,50ma
2019-11-29,95.5199966430664,92.31999969482422,95.44000244140624,92.95999908447266,3345300.0,92.95999908447266,92.95999908447266,92.95999908447266
2019-12-02,94.4800033569336,92.95999908447266,94.23999786376952,93.36000061035156,1741200.0,93.36000061035156,93.15999984741211,93.15999984741211
2019-12-03,94.87999725341795,92.72000122070312,93.36000061035156,94.08000183105469,2904500.0,94.08000183105469,93.46666717529297,93.46666717529297
2019-12-04,98.0,96.4000015258789,96.4800033569336,97.5199966430664,3670300.0,97.5199966430664,94.47999954223633,94.47999954223633
2019-12-05,98.8000030517578,97.1999969482422,98.4800033569336,97.5199966430664,2974600.0,97.5199966430664,95.08799896240234,95.08799896240234
2019-12-06,100.0,96.95999908447266,97.04000091552734,98.55999755859376,2626600.0,98.55999755859376,95.6666653951009,95.6666653951009
2019-12-09,99.04000091552734,98.0,98.0,98.63999938964844,1587100.0,98.63999938964844,96.09142739432198,96.09142739432198
2019-12-10,99.44000244140624,98.16000366210938,98.4800033569336,99.12000274658205,1284200.0,99.12000274658205,96.46999931335449,96.46999931335449
2019-12-11,98.95999908447266,97.12000274658205,98.63999938964844,98.4000015258789,1918300.0,98.4000015258789,96.68444400363498,96.68444400363498
2019-12-12,99.76000213623048,98.4000015258789,98.4000015258789,98.95999908447266,2787500.0,98.95999908447266,96.91199951171875,96.91199951171875
2019-12-13,101.04000091552734,99.12000274658205,99.27999877929688,99.91999816894531,2137600.0,99.91999816894531,97.18545393510298,97.18545393510298
2019-12-16,100.95999908447266,100.4800033569336,100.63999938964844,100.72000122070312,801700.0,100.72000122070312,97.47999954223633,97.47999954223633
2019-12-17,102.08000183105469,101.1999969482422,101.1999969482422,101.76000213623048,1494100.0,101.76000213623048,97.80923051100511,97.80923051100511
2019-12-18,102.31999969482422,100.95999908447266,101.27999877929688,101.91999816894531,1483300.0,101.91999816894531,98.10285677228656,98.10285677228656
2019-12-19,102.8000030517578,101.68000030517578,102.0,102.23999786376952,959600.0,102.23999786376952,98.37866617838542,98.37866617838542
2019-12-20,101.76000213623048,100.4800033569336,101.76000213623048,101.04000091552734,1429300.0,101.04000091552734,98.54499959945679,98.54499959945679
2019-12-23,101.76000213623048,100.72000122070312,100.87999725341795,101.5999984741211,931600.0,101.5999984741211,98.72470541561351,98.72470541561351
2019-12-24,102.31999969482422,101.83999633789062,101.83999633789062,102.16000366210938,431700.0,102.16000366210938,98.91555531819661,98.91555531819661
2019-12-26,103.5199966430664,102.55999755859376,102.55999755859376,103.12000274658205,881700.0,103.12000274658205,99.13684202495374,99.13684202495374
2019-12-27,103.68000030517578,102.55999755859376,103.36000061035156,103.27999877929688,1138000.0,103.27999877929688,99.3439998626709,99.3439998626709
2019-12-30,104.16000366210938,102.31999969482422,104.08000183105469,103.12000274658205,1121500.0,103.12000274658205,99.52380952380952,99.52380952380952
2019-12-31,103.68000030517578,101.5199966430664,101.68000030517578,102.4800033569336,1450700.0,102.4800033569336,99.6581819707697,99.6581819707697
